id,home_team,round,match_date,year,home_away,away_team,team_quarter_scores,home_score,opponent_quarter_scores,away_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,match_id,match_result,match_margin,home_team_win_streak,home_team_form_last5_score_avg,home_team_form_last3_score_avg,home_team_form_last5_win_rate,home_days_rest,home_season_wins_so_far,home_ladder_position,home_team_venue_win_rate,home_team_venue_games_played,away_team_win_streak,away_team_form_last5_score_avg,away_team_form_last3_score_avg,away_team_form_last5_win_rate,away_days_rest,away_season_wins_so_far,away_ladder_position,away_team_venue_win_rate,away_team_venue_games_played,h2h_home_team_win_rate
1,Melbourne Demons,1,2026-07-13,2026,H,Carlton Blues,,110,,70,W,40,MCG,30000.0,18,2,11,4,2026_1_Melbourne Demons_Carlton Blues,Win,40,0,,,,,0.0,1.0,,0,0,,,,,0.0,1.0,,0,
2,Geelong Cats,1,2026-07-13,2026,H,Collingwood Magpies,,95,,80,W,15,GMHBA Stadium,30000.0,15,5,13,2,2026_1_Geelong Cats_Collingwood Magpies,Win,15,0,,,,,0.0,1.0,,0,0,,,,,0.0,1.0,,0,
3,Richmond Tigers,2,2026-07-20,2026,H,Geelong Cats,,60,,100,L,-40,MCG,30000.0,10,0,16,4,2026_2_Richmond Tigers_Geelong Cats,Loss,-40,0,,,,,0.0,2.0,,0,1,95.0,95.0,1.0,7.0,1.0,1.0,,0,
4,Carlton Blues,2,2026-07-20,2026,H,Collingwood Magpies,,65,,90,L,-25,Marvel Stadium,30000.0,10,5,15,0,2026_2_Carlton Blues_Collingwood Magpies,Loss,-25,0,70.0,70.0,0.0,7.0,0.0,2.0,,0,0,80.0,80.0,0.0,7.0,0.0,2.0,,0,
5,Melbourne Demons,3,2026-07-27,2026,H,Richmond Tigers,,105,,75,W,30,MCG,30000.0,17,3,12,3,2026_3_Melbourne Demons_Richmond Tigers,Win,30,1,110.0,110.0,1.0,14.0,1.0,2.0,1.0,1,0,60.0,60.0,0.0,7.0,0.0,3.0,0.0,1,
6,Geelong Cats,3,2026-07-27,2026,H,Carlton Blues,,115,,60,W,55,GMHBA Stadium,30000.0,19,1,10,0,2026_3_Geelong Cats_Carlton Blues,Win,55,2,97.5,97.5,1.0,7.0,2.0,1.0,1.0,1,0,67.5,67.5,0.0,7.0,0.0,3.0,,0,
7,Collingwood Magpies,4,2026-08-03,2026,H,Melbourne Demons,,80,,100,L,-20,MCG,30000.0,13,2,16,4,2026_4_Collingwood Magpies_Melbourne Demons,Loss,-20,1,85.0,85.0,0.5,14.0,1.0,2.0,,0,2,107.5,107.5,1.0,7.0,2.0,1.0,1.0,2,
8,Richmond Tigers,4,2026-08-03,2026,H,Carlton Blues,,85,,88,L,-3,MCG,30000.0,14,1,14,4,2026_4_Richmond Tigers_Carlton Blues,Loss,-3,0,67.5,67.5,0.0,7.0,0.0,3.0,0.0,2,0,65.0,65.0,0.0,7.0,0.0,3.0,0.0,1,
9,Melbourne Demons,5,2026-08-10,2026,H,Geelong Cats,,98,,95,W,3,MCG,30000.0,16,2,15,5,2026_5_Melbourne Demons_Geelong Cats,Win,3,3,105.0,105.0,1.0,7.0,3.0,1.0,1.0,3,3,103.33333333333333,103.33333333333333,1.0,14.0,3.0,1.0,1.0,1,
10,Collingwood Magpies,5,2026-08-10,2026,H,Richmond Tigers,,90,,70,W,20,MCG,30000.0,15,0,11,4,2026_5_Collingwood Magpies_Richmond Tigers,Win,20,0,83.33333333333333,83.33333333333333,0.3333333333333333,7.0,1.0,3.0,0.0,1,0,73.33333333333333,73.33333333333333,0.0,7.0,0.0,4.0,0.0,3,
11,Melbourne Demons,6,2026-08-17,2026,H,Carlton Blues,,120,,65,W,55,MCG,30000.0,20,0,10,5,2026_6_Melbourne Demons_Carlton Blues,Win,55,4,103.25,101.0,1.0,7.0,4.0,1.0,1.0,4,1,70.75,71.0,0.25,14.0,1.0,3.0,0.5,2,1.0
12,Geelong Cats,6,2026-08-17,2026,H,Richmond Tigers,,105,,68,W,37,GMHBA Stadium,30000.0,17,3,11,2,2026_6_Geelong Cats_Richmond Tigers,Win,37,0,101.25,103.33333333333333,0.75,7.0,3.0,2.0,1.0,2,0,72.5,76.66666666666667,0.0,7.0,0.0,4.0,,0,1.0
