amenity_id,property_id,amenity_name
1,1,Mini Golf Course
2,1,24/7 Security
3,1,Community Park
4,1,Underground Electricity
5,1,Water Filtration Plant
6,1,CCTV Surveillance
7,1,Kids Play Area
8,1,Covered Parking
9,2,Underground Electricity
10,2,Mini Golf Course
11,2,CCTV Surveillance
12,2,Community Park
13,3,Gymnasium
14,3,24/7 Security
15,3,Broadband Internet
16,3,Kids Play Area
17,3,Gated Community
18,3,Covered Parking
19,3,Mini Golf Course
20,3,Rooftop Terrace
21,3,Community Park
22,4,Mini Golf Course
23,4,Community Park
24,4,Wide Roads
25,4,Sewerage System
26,4,CCTV Surveillance
27,4,Underground Electricity
28,5,Club House
29,5,CCTV Surveillance
30,5,Kids Play Area
31,5,24/7 Security
32,5,Solar Panels
33,5,Mini Golf Course
34,5,Gated Community
35,6,24/7 Security
36,6,Community Park
37,6,Gated Community
38,6,Rooftop Terrace
39,6,BBQ Area
40,6,Broadband Internet
41,6,Sewerage System
42,6,Mini Golf Course
43,7,Backup Generator
44,7,Community Park
45,7,Solar Panels
46,7,Broadband Internet
47,7,Club House
48,7,Underground Electricity
49,8,24/7 Security
50,8,Covered Parking
51,8,Swimming Pool
52,8,Wide Roads
53,8,Gymnasium
54,8,BBQ Area
55,8,Underground Electricity
56,8,Club House
57,8,Sewerage System
58,9,Gymnasium
59,9,Backup Generator
60,9,BBQ Area
61,9,24/7 Security
62,9,Solar Panels
63,9,Gated Community
64,10,24/7 Security
65,10,Rooftop Terrace
66,10,Club House
67,10,Community Park
68,11,Underground Electricity
69,11,BBQ Area
70,11,Solar Panels
71,11,CCTV Surveillance
72,11,Gymnasium
73,11,Community Park
74,12,Wide Roads
75,12,Sewerage System
76,12,Underground Electricity
77,12,Mosque
78,12,Swimming Pool
79,13,Rooftop Terrace
80,13,Gated Community
81,13,Mini Golf Course
82,13,Broadband Internet
83,13,Community Park
84,13,Gymnasium
85,13,Kids Play Area
86,13,Solar Panels
87,13,Water Filtration Plant
88,14,Underground Electricity
89,14,Rooftop Terrace
90,14,Covered Parking
91,14,Kids Play Area
92,15,Gymnasium
93,15,Wide Roads
94,15,Mosque
95,15,Backup Generator
96,15,Community Park
97,15,Broadband Internet
98,16,Kids Play Area
99,16,Covered Parking
100,16,Broadband Internet
101,16,Solar Panels
102,16,Backup Generator
103,17,Rooftop Terrace
104,17,Gymnasium
105,17,BBQ Area
106,17,Kids Play Area
107,17,CCTV Surveillance
108,17,Community Park
109,17,24/7 Security
110,17,Swimming Pool
111,17,Mosque
112,18,CCTV Surveillance
113,18,Sewerage System
114,18,BBQ Area
115,18,Gymnasium
116,18,Kids Play Area
117,19,Broadband Internet
118,19,Solar Panels
119,19,BBQ Area
120,19,Backup Generator
121,19,Covered Parking
122,19,Sewerage System
123,19,Gated Community
