hospital_id,location_id,hospital_name,distance_km,emergency_services
1,1024,Shifa International Hospital,2.6,False
2,1024,Jinnah Hospital,3.9,False
3,1025,South City Hospital,4.4,True
4,1025,Fatima Memorial Hospital,1.3,False
5,1026,Fatima Memorial Hospital,1.1,False
6,1027,Doctors Hospital,2.3,False
7,1028,Bahria International Hospital,0.8,False
8,1028,Shifa International Hospital,3.0,True
9,1029,Fatima Memorial Hospital,5.4,False
10,1029,Kulsum International Hospital,3.9,True
11,1030,Ittefaq Hospital,1.0,False
12,1031,Bahria International Hospital,5.8,True
13,1032,South City Hospital,2.0,True
14,1033,South City Hospital,3.4,True
15,1033,Doctors Hospital,2.1,True
16,1034,Chughtai Lab & Hospital,2.9,True
17,1034,National Hospital,2.1,True
18,1035,Doctors Hospital,5.1,False
19,1036,Kulsum International Hospital,4.1,False
20,1036,Chughtai Lab & Hospital,3.2,False
21,1037,Bahria International Hospital,5.4,False
22,1037,South City Hospital,1.4,False
23,1038,Ittefaq Hospital,2.5,False
24,1039,South City Hospital,2.4,False
25,1000,Kulsum International Hospital,5.6,False
26,1001,South City Hospital,5.1,True
27,1002,Doctors Hospital,1.1,False
28,1003,Ittefaq Hospital,1.9,True
29,1004,Fatima Memorial Hospital,4.4,False
30,1005,South City Hospital,3.0,True
31,1005,Chughtai Lab & Hospital,3.4,True
32,1006,National Hospital,5.6,True
33,1007,Chughtai Lab & Hospital,0.5,False
34,1007,South City Hospital,4.1,False
35,1008,Bahria International Hospital,4.9,False
36,1008,South City Hospital,2.4,True
37,1009,Shifa International Hospital,4.2,True
38,1009,South City Hospital,2.2,False
39,1010,Ittefaq Hospital,2.5,False
40,1011,Kulsum International Hospital,4.0,True
41,1012,Doctors Hospital,1.0,False
42,1012,Shifa International Hospital,4.2,True
43,1013,Doctors Hospital,2.2,True
44,1013,Ittefaq Hospital,5.5,False
45,1014,South City Hospital,2.5,False
46,1014,National Hospital,0.6,False
47,1015,Bahria International Hospital,5.3,True
48,1015,Ittefaq Hospital,1.7,False
49,1016,Ittefaq Hospital,1.4,False
50,1016,Bahria International Hospital,4.5,False
51,1017,Kulsum International Hospital,3.8,True
52,1018,Bahria International Hospital,3.1,False
53,1019,Kulsum International Hospital,4.7,True
54,1020,National Hospital,4.0,False
55,1021,South City Hospital,3.0,True
56,1021,Fatima Memorial Hospital,1.6,False
57,1022,Fatima Memorial Hospital,0.7,False
58,1022,Ittefaq Hospital,5.1,False
59,1023,Fatima Memorial Hospital,1.7,True
60,1023,Ittefaq Hospital,1.3,False
