location_id,city,locality,province_name,latitude,longitude,popularity_score,avg_price_per_marla
1001,Rawalpindi,DHA Phase 2 Rawalpindi,Punjab,33.508963,72.951313,4.7,5372001
1002,Faisalabad,Wapda City,Punjab,31.50676,73.112634,3.6,2514968
1003,Islamabad,F-10,Islamabad Capital Territory,33.64733,73.085191,4.1,4692954
1004,Islamabad,G-13,Islamabad Capital Territory,33.622489,73.079287,3.4,4147734
1005,Lahore,Wapda Town,Punjab,31.445011,74.388214,4.3,2384110
1006,Karachi,Bahria Town Karachi,Sindh,24.896504,66.956938,4.3,2370739
1007,Islamabad,PWD Housing Scheme,Islamabad Capital Territory,33.738645,73.057235,3.6,5925539
1008,Faisalabad,Wapda City,Punjab,31.408943,73.210223,2.7,5831138
1009,Lahore,Gulberg,Punjab,31.511931,74.297693,4.3,2037092
1010,Rawalpindi,Bahria Town Rawalpindi,Punjab,33.575073,73.041635,2.6,2756005
1011,Rawalpindi,Satellite Town,Punjab,33.503344,73.058391,3.2,2224179
1012,Karachi,DHA Phase 8,Sindh,24.797814,67.018836,4.6,1525403
1013,Karachi,DHA Phase 8,Sindh,24.904243,66.993181,3.7,5718725
1014,Faisalabad,Eden Valley,Punjab,31.481091,73.082784,2.6,5678827
1015,Karachi,DHA Phase 8,Sindh,24.935979,66.993555,4.0,4981474
1016,Karachi,Clifton,Sindh,24.814254,67.035402,4.1,5294129
1017,Islamabad,Gulberg Greens,Islamabad Capital Territory,33.681259,73.059202,3.3,5054586
1018,Rawalpindi,Satellite Town,Punjab,33.642465,73.046242,3.9,1827963
1019,Karachi,DHA Phase 8,Sindh,24.899486,67.010903,4.3,3864277
1020,Karachi,North Nazimabad,Sindh,24.899687,66.953594,4.9,3842728
1021,Rawalpindi,Askari 14,Punjab,33.625793,72.941532,4.5,2217167
1022,Karachi,Clifton,Sindh,24.844211,67.068792,3.9,3315376
1023,Lahore,DHA Phase 6,Punjab,31.486011,74.340551,3.4,5475285
1024,Karachi,North Nazimabad,Sindh,24.856556,66.94227,4.2,2989799
1025,Karachi,North Nazimabad,Sindh,24.85414,66.956013,3.2,5776387
1026,Islamabad,Gulberg Greens,Islamabad Capital Territory,33.649628,73.077406,4.0,3636857
1027,Rawalpindi,Bahria Town Rawalpindi,Punjab,33.607576,73.08085,3.9,4884601
1028,Faisalabad,Madina Town,Punjab,31.488277,73.148284,4.1,2016248
1029,Faisalabad,Susan Road,Punjab,31.504902,73.195239,3.4,2581565
1030,Karachi,Gulshan-e-Iqbal,Sindh,24.837545,67.040174,4.1,5633732
1031,Islamabad,F-10,Islamabad Capital Territory,33.755488,72.979295,3.1,1679447
1032,Karachi,North Nazimabad,Sindh,24.846171,67.012205,4.7,3216176
1033,Rawalpindi,DHA Phase 2 Rawalpindi,Punjab,33.557429,72.970401,4.5,2010183
1034,Karachi,North Nazimabad,Sindh,24.786736,66.953006,3.1,4757890
1035,Islamabad,DHA Islamabad,Islamabad Capital Territory,33.625029,73.029268,2.6,3825905
1036,Faisalabad,Jaranwala Road,Punjab,31.512476,73.214276,4.4,3814390
1037,Islamabad,F-10,Islamabad Capital Territory,33.685141,72.987606,3.8,3690621
1038,Lahore,Johar Town,Punjab,31.51149,74.298475,3.2,4431876
1039,Islamabad,F-10,Islamabad Capital Territory,33.671412,73.11168,3.3,1870554
1000,Faisalabad,Eden Valley,Punjab,31.417656,73.061305,2.7,5872329
