plan_id,property_id,down_payment_pct,down_payment_amount,num_installments,installment_amount,tenure_years,developer
1,12,10,178000.0,12,133500.0,3,Nova City Developers
2,14,20,947000.0,16,236700.0,4,Nova City Developers
3,23,30,4598000.0,16,670600.0,4,Bahria Town Pvt Ltd
4,27,10,428000.0,8,481600.0,2,Al-Jalil Developers
5,31,10,966000.0,12,724200.0,3,Al-Jalil Developers
6,35,20,2100000.0,12,700200.0,3,DHA Development Authority
7,39,10,1128000.0,16,634800.0,4,Emaar Pakistan
8,44,20,779000.0,8,389600.0,2,Al-Jalil Developers
9,47,30,817000.0,12,158900.0,3,Al-Jalil Developers
10,51,15,1289000.0,8,913000.0,2,Zedem International
11,63,15,759000.0,8,537600.0,2,Nova City Developers
12,65,20,465000.0,8,232400.0,2,Nova City Developers
13,70,20,1514000.0,8,756800.0,2,DHA Development Authority
14,72,15,494000.0,16,174900.0,4,Zedem International
15,75,15,1863000.0,8,1320000.0,2,DHA Development Authority
16,78,10,360000.0,12,269600.0,3,Park View City Developers
17,79,10,424000.0,8,476800.0,2,Bahria Town Pvt Ltd
18,83,20,1822000.0,16,455400.0,4,Bahria Town Pvt Ltd
19,89,15,2307000.0,8,1634100.0,2,Al-Jalil Developers
20,90,15,607000.0,16,214800.0,4,Kohistan Builders
21,93,15,1421000.0,16,503400.0,4,Zedem International
22,97,30,805000.0,8,234600.0,2,Zedem International
23,104,30,3112000.0,8,907600.0,2,DHA Development Authority
24,111,10,351000.0,8,395100.0,2,Al-Jalil Developers
25,118,25,1930000.0,8,723900.0,2,Emaar Pakistan
26,120,20,1335000.0,16,333800.0,4,Bahria Town Pvt Ltd
27,122,25,1114000.0,8,418000.0,2,Park View City Developers
28,123,30,4490000.0,16,654900.0,4,Kohistan Builders
29,127,25,1723000.0,12,430800.0,3,Park View City Developers
30,128,10,1509000.0,12,1132100.0,3,Al-Jalil Developers
31,129,25,4474000.0,16,838800.0,4,DHA Development Authority
32,130,30,2804000.0,16,408800.0,4,DHA Development Authority
33,131,25,334000.0,12,83700.0,3,DHA Development Authority
34,135,20,1859000.0,8,929600.0,2,Al-Jalil Developers
35,136,25,2100000.0,8,787400.0,2,Zedem International
36,139,30,2078000.0,16,303100.0,4,Kohistan Builders
37,148,30,4950000.0,12,962500.0,3,Nova City Developers
38,152,25,419000.0,8,157100.0,2,DHA Development Authority
39,153,25,733000.0,8,274800.0,2,Emaar Pakistan
40,154,10,513000.0,8,577500.0,2,Nova City Developers
41,157,20,1698000.0,8,849200.0,2,Kohistan Builders
42,159,10,1762000.0,16,991200.0,4,Nova City Developers
43,161,25,213000.0,12,53200.0,3,Kohistan Builders
44,168,10,607000.0,12,455400.0,3,DHA Development Authority
45,169,20,462000.0,12,154200.0,3,Nova City Developers
46,172,30,2169000.0,16,316400.0,4,Kohistan Builders
47,175,25,4094000.0,8,1535400.0,2,Kohistan Builders
48,178,25,417000.0,16,78200.0,4,Nova City Developers
49,185,25,770000.0,16,144200.0,4,Park View City Developers
50,192,20,2799000.0,12,933100.0,3,Bahria Town Pvt Ltd
51,193,10,685000.0,8,770800.0,2,Al-Jalil Developers
52,194,30,1779000.0,8,518900.0,2,Al-Jalil Developers
53,196,25,638000.0,12,159600.0,3,Al-Jalil Developers
54,199,15,1081000.0,8,765800.0,2,Zedem International
55,203,20,1274000.0,8,637100.0,2,Al-Jalil Developers
56,204,30,952000.0,12,185200.0,3,Bahria Town Pvt Ltd
57,209,25,1666000.0,16,312300.0,4,Bahria Town Pvt Ltd
58,211,25,676000.0,12,169200.0,3,DHA Development Authority
59,213,15,923000.0,12,435800.0,3,Nova City Developers
60,217,30,5096000.0,12,990800.0,3,Al-Jalil Developers
61,219,10,979000.0,16,550600.0,4,Zedem International
62,220,10,347000.0,12,260400.0,3,Park View City Developers
63,230,30,1841000.0,16,268600.0,4,Nova City Developers
64,232,10,360000.0,16,202800.0,4,Kohistan Builders
65,235,30,2044000.0,12,397600.0,3,Zedem International
66,237,30,741000.0,12,144100.0,3,Emaar Pakistan
67,244,25,2515000.0,8,943000.0,2,Nova City Developers
68,245,30,1734000.0,16,252900.0,4,Park View City Developers
69,250,15,1418000.0,12,669800.0,3,Nova City Developers
70,251,15,995000.0,16,352300.0,4,Kohistan Builders
71,262,20,221000.0,16,55100.0,4,Emaar Pakistan
72,263,30,3390000.0,8,988600.0,2,Park View City Developers
73,265,15,1346000.0,8,953800.0,2,Bahria Town Pvt Ltd
74,268,20,1313000.0,12,437800.0,3,Nova City Developers
75,276,15,311000.0,12,147000.0,3,Emaar Pakistan
76,278,20,3468000.0,16,867100.0,4,Emaar Pakistan
77,280,25,942000.0,8,353100.0,2,Bahria Town Pvt Ltd
78,283,30,542000.0,12,105500.0,3,DHA Development Authority
79,286,10,996000.0,12,747200.0,3,Emaar Pakistan
80,287,30,598000.0,16,87100.0,4,DHA Development Authority
81,293,10,986000.0,8,1109600.0,2,DHA Development Authority
82,296,30,5816000.0,16,848100.0,4,Park View City Developers
