property_id,location_id,page_url,property_type,price,price_bin,location,city,province_name,locality,latitude,longitude,baths,area,area_marla,area_sqft,purpose,bedrooms,date_added,year,month,day,agency,agent
1,1001,https://www.zameen.com/Property/lahore_dha_phase_5_1.html,Farm House,5408000.0,3M - 8M,"DHA Phase 5, Lahore",Lahore,Punjab,DHA Phase 5,31.445485,74.293691,1,7.42 Marla,7.42,2020.1,For Sale,1,2024-02-12,2024,2,12,Graana Real Estate,Kashif Iqbal
2,1002,https://www.zameen.com/Property/karachi_north_nazimabad_2.html,Room,5007000.0,3M - 8M,"North Nazimabad, Karachi",Karachi,Sindh,North Nazimabad,24.910209,66.92214,1,8.35 Marla,8.35,2273.29,For Sale,1,2020-06-21,2020,6,21,Metro Homes Realty,Kashif Butt
3,1003,https://www.zameen.com/Property/karachi_malir_3.html,Lower Portion,1988000.0,Under 3M,"Malir, Karachi",Karachi,Sindh,Malir,24.823023,66.928052,3,6.6 Marla,6.6,1796.85,For Sale,3,2019-02-01,2019,2,1,Aiwan-e-Property,Hassan Aslam
4,1004,https://www.zameen.com/Property/rawalpindi_bahria_town_rawalpindi_4.html,Lower Portion,6620000.0,3M - 8M,"Bahria Town Rawalpindi, Rawalpindi",Rawalpindi,Punjab,Bahria Town Rawalpindi,33.642735,73.073751,5,10.66 Marla,10.66,2902.18,For Sale,5,2018-10-12,2018,10,12,Graana Real Estate,Ayesha Butt
5,1005,https://www.zameen.com/Property/lahore_johar_town_5.html,Upper Portion,7635000.0,3M - 8M,"Johar Town, Lahore",Lahore,Punjab,Johar Town,31.55706,74.304844,3,11.19 Marla,11.19,3046.48,For Sale,3,2018-10-20,2018,10,20,Prime Estate Consultants,Sara Javed
6,1006,https://www.zameen.com/Property/rawalpindi_satellite_town_6.html,Farm House,6494000.0,3M - 8M,"Satellite Town, Rawalpindi",Rawalpindi,Punjab,Satellite Town,33.518857,73.087766,1,8.3 Marla,8.3,2259.68,For Sale,1,2021-07-16,2021,7,16,Metro Homes Realty,Usman Malik
7,1007,https://www.zameen.com/Property/islamabad_bahria_town_islamabad_7.html,Farm House,13588000.0,8M - 20M,"Bahria Town Islamabad, Islamabad",Islamabad,Islamabad Capital Territory,Bahria Town Islamabad,33.748052,73.031804,2,18.57 Marla,18.57,5055.68,For Sale,2,2024-01-17,2024,1,17,Aiwan-e-Property,Kashif Iqbal
8,1008,https://www.zameen.com/Property/karachi_clifton_8.html,Room,2106000.0,Under 3M,"Clifton, Karachi",Karachi,Sindh,Clifton,24.841759,67.080479,1,3.22 Marla,3.22,876.65,For Sale,1,2022-09-26,2022,9,26,Prime Estate Consultants,Bilal Iqbal
9,1009,https://www.zameen.com/Property/faisalabad_jaranwala_road_9.html,Room,110300.0,Rental,"Jaranwala Road, Faisalabad",Faisalabad,Punjab,Jaranwala Road,31.388248,73.124562,1,3.11 Marla,3.11,846.7,For Rent,1,2024-01-09,2024,1,9,Skyline Properties,Usman Raza
10,1010,https://www.zameen.com/Property/rawalpindi_bahria_town_rawalpindi_10.html,Farm House,463600.0,Rental,"Bahria Town Rawalpindi, Rawalpindi",Rawalpindi,Punjab,Bahria Town Rawalpindi,33.516926,72.996726,1,10.94 Marla,10.94,2978.41,For Rent,2,2021-05-07,2021,5,7,Skyline Properties,Imran Aslam
11,1011,https://www.zameen.com/Property/karachi_north_nazimabad_11.html,Penthouse,56200.0,Rental,"North Nazimabad, Karachi",Karachi,Sindh,North Nazimabad,24.789968,67.061582,4,3.06 Marla,3.06,833.09,For Rent,4,2022-01-26,2022,1,26,Skyline Properties,Usman Sheikh
12,1012,https://www.zameen.com/Property/lahore_dha_phase_5_12.html,Farm House,1780000.0,Under 3M,"DHA Phase 5, Lahore",Lahore,Punjab,DHA Phase 5,31.524828,74.375755,5,5.48 Marla,5.48,1491.93,For Sale,5,2023-05-01,2023,5,1,Prime Estate Consultants,Sara Butt
13,1013,https://www.zameen.com/Property/karachi_north_nazimabad_13.html,Penthouse,5579000.0,3M - 8M,"North Nazimabad, Karachi",Karachi,Sindh,North Nazimabad,24.820365,66.931344,3,8.34 Marla,8.34,2270.57,For Sale,4,2022-11-30,2022,11,30,Prime Estate Consultants,Zainab Malik
14,1014,https://www.zameen.com/Property/lahore_gulberg_14.html,Room,4734000.0,3M - 8M,"Gulberg, Lahore",Lahore,Punjab,Gulberg,31.451737,74.316781,1,7.21 Marla,7.21,1962.92,For Sale,1,2020-07-26,2020,7,26,Graana Real Estate,Ahmed Raza
