school_id,location_id,school_name,distance_km,school_type
1,1024,Army Public School,0.4,Private
2,1024,LGS (Lahore Grammar School),3.3,International
3,1024,Roots Millennium Schools,1.3,Public
4,1025,OPF Girls College,3.0,Public
5,1026,Army Public School,1.7,Public
6,1026,Beaconhouse School System,3.6,Private
7,1026,OPF Girls College,2.0,Private
8,1027,OPF Girls College,3.4,Private
9,1027,Army Public School,4.2,Private
10,1027,Roots Millennium Schools,3.4,Public
11,1028,Beaconhouse School System,1.3,International
12,1028,Army Public School,0.8,Private
13,1028,Divisional Public School,3.0,Public
14,1029,Army Public School,2.9,International
15,1030,The City School,0.8,International
16,1031,LGS (Lahore Grammar School),2.1,International
17,1031,The City School,3.1,Public
18,1031,Divisional Public School,0.8,International
19,1032,OPF Girls College,3.8,Private
20,1032,Roots Millennium Schools,3.5,International
21,1032,Froebel's International,1.0,Private
22,1033,Bahria Foundation College,0.9,Public
23,1034,Froebel's International,2.6,Public
24,1035,Divisional Public School,0.5,Private
25,1036,Divisional Public School,0.4,Public
26,1036,Aitchison College,0.6,Private
27,1036,Roots Millennium Schools,1.1,Private
28,1037,Divisional Public School,3.2,Public
29,1037,Bahria Foundation College,3.2,Private
30,1037,Aitchison College,0.9,Public
31,1038,Army Public School,4.2,International
32,1038,Aitchison College,3.2,International
33,1038,LGS (Lahore Grammar School),1.1,Public
34,1039,The City School,2.1,International
35,1039,Bahria Foundation College,1.3,Private
36,1039,Froebel's International,4.4,Private
37,1000,Froebel's International,2.2,International
38,1000,OPF Girls College,3.1,Public
39,1000,LGS (Lahore Grammar School),0.5,Private
40,1001,Army Public School,2.4,Private
41,1002,Beaconhouse School System,1.5,Public
42,1002,Divisional Public School,1.4,International
43,1002,Froebel's International,3.7,Public
44,1003,The City School,3.4,International
45,1004,Roots Millennium Schools,3.6,Public
46,1005,The City School,3.3,International
47,1005,Divisional Public School,2.7,Public
48,1005,LGS (Lahore Grammar School),1.1,International
49,1006,LGS (Lahore Grammar School),1.7,Private
50,1006,The City School,1.3,Public
51,1007,Aitchison College,4.0,Private
52,1008,Divisional Public School,0.5,Public
53,1008,Army Public School,0.9,International
54,1009,Roots Millennium Schools,1.9,Public
55,1009,Aitchison College,3.3,International
56,1010,Bahria Foundation College,1.7,Private
57,1010,LGS (Lahore Grammar School),3.2,Private
58,1011,Roots Millennium Schools,3.9,Public
59,1011,The City School,2.1,Public
60,1012,Bahria Foundation College,2.8,International
61,1013,Roots Millennium Schools,0.7,International
62,1013,OPF Girls College,2.4,Private
63,1013,LGS (Lahore Grammar School),2.8,Public
64,1014,Beaconhouse School System,3.4,Private
65,1014,Aitchison College,1.3,Public
66,1015,LGS (Lahore Grammar School),2.1,Private
67,1015,Roots Millennium Schools,0.5,Public
68,1015,Beaconhouse School System,3.4,International
69,1016,Aitchison College,2.5,Public
70,1017,The City School,1.3,International
71,1017,Army Public School,3.5,International
72,1017,OPF Girls College,3.4,Private
73,1018,Froebel's International,1.5,International
74,1019,Beaconhouse School System,2.3,Public
75,1020,Army Public School,3.9,International
76,1021,Beaconhouse School System,3.5,International
77,1021,Army Public School,2.0,Public
78,1021,OPF Girls College,2.9,International
79,1022,Beaconhouse School System,4.1,Public
80,1022,The City School,2.5,Public
81,1022,Aitchison College,2.1,Public
82,1023,Divisional Public School,3.6,Private
83,1023,OPF Girls College,2.9,Public
84,1023,LGS (Lahore Grammar School),3.4,Private
